,DATE,TAVG,TMAX,TMIN,PRCP
314,2015-03,64.0,77.7,50.3,0.06
315,2015-04,64.3,77.6,51.0,1.25
316,2015-05,68.5,81.5,55.5,0.57
317,2015-06,81.9,96.8,67.1,0.01
318,2015-07,83.1,96.8,69.3,0.43
319,2015-08,82.4,97.1,67.7,0.0
320,2015-09,78.7,92.4,65.0,0.12
321,2015-10,71.3,83.1,59.4,0.49
322,2015-11,52.0,62.5,41.5,1.74
323,2015-12,45.8,54.8,36.8,2.98
324,2016-01,50.0,57.7,42.3,4.43
325,2016-02,55.5,67.7,43.4,0.33
326,2016-03,58.7,69.2,48.2,2.94
327,2016-04,65.3,77.6,52.9,1.06
328,2016-05,71.3,84.5,58.2,0.29
329,2016-06,80.9,96.5,65.3,0.06
330,2016-07,84.0,100.0,68.0,0.0
331,2016-08,82.5,98.3,66.7,0.0
332,2016-09,76.1,91.3,60.9,0.0
333,2016-10,66.4,78.7,54.1,0.67
334,2016-11,57.5,68.8,46.3,1.38
335,2016-12,47.2,55.8,38.5,2.52
336,2017-01,48.1,55.6,40.5,5.5
337,2017-02,53.9,61.7,46.1,2.52
338,2017-03,58.7,70.3,47.2,1.08
339,2017-04,62.1,73.8,50.3,3.42
340,2017-05,71.0,84.0,57.9,0.12
341,2017-06,80.5,95.1,65.9,0.0
342,2017-07,86.5,101.9,71.1,0.0
343,2017-08,85.2,99.5,70.9,0.0
344,2017-09,77.2,90.1,64.2,0.16
345,2017-10,65.7,79.9,51.4,0.09
346,2017-11,58.0,68.3,47.6,0.28
347,2017-12,48.0,60.5,35.5,0.04
348,2018-01,52.6,61.4,43.7,1.23
349,2018-02,53.2,65.6,40.8,0.26
350,2018-03,56.8,67.4,46.3,4.19
351,2018-04,64.9,77.6,52.3,0.64
352,2018-05,70.9,84.1,57.7,0.0
353,2018-06,79.4,94.6,64.1,0.0
354,2018-07,88.2,102.8,73.7,0.0
355,2018-08,83.0,98.5,67.5,0.0
356,2018-09,78.0,92.9,63.0,0.0
357,2018-10,68.1,80.7,55.5,0.1
358,2018-11,57.8,69.2,46.4,1.67
359,2018-12,50.0,56.8,43.1,0.56
360,2019-01,52.5,61.0,44.0,2.23
361,2019-02,49.2,57.3,41.1,3.26
362,2019-03,57.4,67.4,47.4,1.27
363,2019-04,67.1,79.3,54.8,0.39
364,2019-05,66.6,77.1,56.2,2.38
365,2019-06,80.7,94.3,67.1,0.0
366,2019-07,84.2,99.0,69.5,0.0
367,2019-08,84.8,99.5,70.1,0.0
368,2019-09,77.2,90.5,63.9,0.0
369,2019-10,65.5,79.3,51.6,0.0
370,2019-11,57.9,70.4,45.4,0.72
371,2019-12,51.0,58.3,43.6,2.16
372,2020-01,49.0,57.2,40.7,0.66
373,2020-02,55.0,68.2,41.8,0.0
374,2020-03,56.6,66.4,46.9,2.33
375,2020-04,64.1,75.1,53.1,1.65
376,2020-05,73.4,87.0,59.9,0.12
377,2020-06,79.5,93.6,65.4,0.0
378,2020-07,84.6,99.9,69.4,0.0
379,2020-08,86.2,100.4,72.0,0.0
380,2020-09,79.8,93.0,66.6,0.0
381,1989-01,48.5,62.9,34.1,0.52
382,1989-02,50.3,62.3,38.2,1.17
383,1989-03,57.4,70.9,43.9,0.59
384,1989-04,62.9,79.1,46.7,0.11
385,1989-05,62.3,77.1,47.4,0.01
386,1989-06,66.9,82.0,51.8,0.0
387,1989-07,67.4,83.5,51.3,0.0
388,1989-08,,,,0.0
389,1989-09,70.5,85.0,55.9,2.29
390,1989-10,,,,0.34
391,1989-12,,,,0.0
392,1990-01,49.1,63.4,34.8,1.19
393,1990-02,49.5,63.4,35.5,1.04
394,1990-03,56.3,70.4,42.1,0.31
395,1990-04,61.4,77.2,45.6,0.03
396,1990-05,61.8,77.7,45.9,0.88
397,1990-06,66.3,83.5,49.2,0.0
398,1990-07,70.5,86.5,54.5,0.0
399,1990-08,69.3,83.5,55.1,0.0
400,1990-09,67.4,84.2,50.7,0.11
401,1990-10,64.3,83.3,45.3,0.0
402,1990-11,54.0,71.1,36.9,0.1
